[header]
width=20
height=20
tilewidth=21
tileheight=21
orientation=orthogonal
background_color=0,0,0,255

[tilesets]
tileset=spritesheet.png,21,21,0,0

[layer]
type=Tile Layer 1
data=
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
178,178,178,123,123,178,178,178,178,123,123,178,178,178,178,123,123,178,178,178,
123,123,123,153,153,123,123,123,123,153,153,123,178,178,123,153,153,123,123,123,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,153,153,178,178,153,153,153,153,153,153

